"","V1","V2","V3","V4"
"213",NA,6000,19075,12000
"214",NA,12000,17000,12000
"215",NA,11075,15000,35000
"216",NA,1500,8325,18000
"217",NA,9600,8000,8725
"218",NA,5000,16000,35000
"219",NA,8875,32000,16000
"220",NA,17000,25000,23375
"221",NA,21600,8325,10000
"222",NA,22000,11975,6000
"223",NA,10000,12000,24000
"224",NA,15000,10000,12000
"225",NA,20000,12975,10200
"226",NA,16425,10850,16650
"227",NA,2000,25000,11050
"228",NA,11500,5500,10000
"229",NA,6700,19275,20000
"230",NA,8500,9600,30000
"231",NA,12000,6000,20000
"232",NA,16000,13500,3000
"233",NA,10000,29250,15200
"234",NA,2500,10000,13750
"235",NA,17000,18000,10000
"236",NA,28100,16000,12000
"237",NA,17000,5000,21000
"238",NA,26850,6000,7500
"239",NA,10000,16000,5000
"240",NA,10000,9875,6000
"241",NA,14000,14000,18000
"242",NA,19950,23325,15600
"243",NA,10000,15000,6175
"244",NA,5500,11000,14000
"245",NA,21600,18000,6925
"246",NA,20000,15000,8000
"247",NA,7575,6000,5750
"248",NA,5825,6000,6600
"249",NA,10000,18400,8000
"250",NA,10000,7800,10000
"251",NA,14000,12000,7500
"252",NA,35000,21000,9600
"253",NA,10000,16000,9000
"254",NA,16000,20000,5000
"255",NA,7200,18000,4500
"256",NA,25275,5000,7000
"257",NA,9000,7000,7000
"258",NA,10000,8000,10000
"259",NA,25200,32000,15000
"260",NA,9500,18800,20000
"261",NA,18000,3000,35000
"262",NA,8000,15000,35000
"263",NA,20000,10000,3200
"264",NA,20000,20000,6475
"265",NA,20000,14350,20000
"266",NA,11000,15000,35000
"267",NA,3500,12000,20000
"268",NA,13000,9800,3000
"269",NA,17475,7000,18900
"270",NA,27500,10000,15000
"271",NA,8000,12600,15000
"272",NA,5000,20400,12000
"273",NA,5000,8000,14975
"274",NA,21000,3600,5000
"275",NA,17000,21000,17500
"276",NA,5675,25125,15300
"277",NA,11000,12725,5700
"278",NA,12000,8500,12000
"279",NA,35000,19825,21000
"280",NA,35000,8000,26000
"281",NA,32000,7500,24025
"282",NA,19800,35000,10000
"283",NA,12725,16175,16000
"284",NA,14000,9700,10000
"285",NA,7750,16000,20000
"286",NA,29325,2400,8500
"287",NA,24300,3000,15000
"288",NA,25450,22500,28000
"289",NA,4000,22000,4200
"290",NA,12000,26050,16000
"291",NA,20000,9575,28100
"292",NA,10000,13300,20000
"293",NA,25000,35000,10000
"294",NA,5000,12000,5000
"295",NA,5825,28975,2200
"296",NA,22700,15750,6000
"297",NA,15000,12000,8775
"298",NA,15000,15000,20000
"299",NA,11075,10000,7200
"300",NA,12000,3000,22000
"301",NA,16500,12000,5600
"302",NA,19375,14400,12000
"303",NA,20700,21000,12500
"304",NA,10500,8400,10000
"305",NA,30000,25000,11400
"306",NA,5000,10050,3000
"307",NA,8000,4000,15000
"308",NA,15000,8000,12000
"309",NA,16000,5000,20000
"310",NA,9000,19250,27500
"311",NA,20000,24000,15000
"312",NA,19800,4200,28000
"313",NA,9000,23075,19300
"314",NA,6000,7875,12000
"315",NA,1500,2500,21600
"316",NA,15000,6000,9600
"317",NA,24000,1800,9325
"318",NA,6000,26000,11000
"319",NA,26400,6500,15000
"320",NA,12600,9300,18000
"321",NA,30000,12000,7200
"322",NA,28000,10000,10000
"323",NA,12000,18000,20000
"324",NA,25150,22400,18000
"325",NA,7000,25000,14125
"326",NA,12000,10450,12000
"327",NA,20000,8400,18000
"328",NA,24000,20000,8000
"329",NA,13000,19000,5000
"330",NA,9000,20000,10000
"331",NA,12000,12000,23500
"332",NA,11000,35000,12000
"333",NA,12000,15000,25000
"334",NA,20000,8000,21925
"335",NA,17650,17000,7200
"336",NA,8000,5975,12475
"337",NA,6625,25800,24000
"338",NA,15000,7675,12000
"339",NA,35000,17800,9450
"340",NA,1000,12000,15000
"341",NA,20000,22300,3000
"342",NA,16000,18000,5000
