"","样本容量","样本质量"
"1",128,0.825370907312749
"2",137,0.482291002528019
"3",147,0.891906055486362
"4",158,0.880675351745171
"5",169,0.866687215457459
"6",181,0.90506834239882
"7",194,0.892807814213559
"8",208,0.895196681278562
"9",223,0.943582517744409
"10",239,0.936863729275281
"11",256,0.9062156347971
"12",274,0.92043025250121
"13",294,0.952634762574471
"14",315,0.973367529750589
"15",338,0.957264259532191
"16",362,0.976684330193044
"17",388,0.980682430539108
"18",416,0.953132018842282
"19",446,0.974445755988974
"20",478,0.978842933010967
"21",512,0.972389879386094
"22",549,0.966940806307902
"23",588,0.969500849450524
"24",630,0.962286944134366
"25",676,0.961944876626972
"26",724,0.975789220406734
"27",776,0.976594034919872
"28",832,0.972583766763737
"29",891,0.983937940876709
"30",955,0.987873379588897
"31",1024,0.982266498230287
"32",1097,0.985664375227529
"33",1176,0.986602371758533
"34",1261,0.985246294402508
"35",1351,0.986943610544439
"36",1448,0.986207747767108
"37",1552,0.981098348873884
"38",1663,0.994418683484229
"39",1783,0.994696521144859
"40",1911,0.994635561402325
"41",2048,0.991586787361299
"42",2195,0.993471731097244
"43",2353,0.992101982547462
"44",2521,0.99529092811688
"45",2702,0.989593047511712
"46",2896,0.993836839960369
"47",3104,0.99332499418736
"48",3327,0.99526280022405
"49",3566,0.9969170210654
"50",3822,0.99415933106252
"51",4096,0.996296184630284
"52",4390,0.997012817486803
"53",4705,0.997080504826409
"54",5043,0.997858527631125
"55",5405,0.99734898705291
"56",5793,0.996074545290231
"57",6208,0.997125943414689
"58",6654,0.99612119736412
"59",7132,0.996485124667451
"60",7643,0.997872850711427
"61",8192,0.998321244806235
"62",8780,0.998958674110282
"63",9410,0.998012661998744
"64",10086,0.998964731792445
"65",10809,0.998258173045198
"66",11585,0.998589623819683
"67",12417,0.997988693700511
"68",13308,0.999048256258754
"69",14263,0.999064969429811
"70",15287,0.999028626265307
"71",16384,0.999180248390701
"72",17560,0.999512867321068
"73",18820,0.999435336594532
"74",20171,0.999202247247295
"75",21619,0.999658854411409
"76",23170,0.999283619350081
"77",24834,0.999312785225353
"78",26616,0.999000317699652
"79",28526,0.999289590637735
"80",30574,0.999623613532995
"81",32768,0.999650294023721
