userID,friendID
87702431,87658277
87702431,87679913
87702431,87697903
87702431,87712865
87702431,157419785
87702431,229525517
87702431,447377969
87702431,530162919
87702431,531321505
87702431,536901759
87702431,547129795
87702431,555328483
87702431,571486213
87702431,580393927
87702431,583546375
87702431,602028937
87702431,642226705
87702431,729795197
87702431,756472073
87702431,759409031
87702431,766419155
87702431,1488502789
87717679,531100211
87717679,566919195
87717679,614259333
87717679,693938943
87717679,786256615
87717679,1027733343
87717933,155239863
87717933,176408393
87717933,229480641
87717933,417741939
87717933,529328925
87717933,532601655
87717933,537401475
87717933,547885901
87717933,561265031
87717933,578042281
87717933,602506633
87717933,715867225
87717933,811303891
87717933,3979596793
87726597,87743889
87726597,87792347
87726597,135485799
87726597,148265187
87726597,153325663
87726597,162251939
87726597,176408393
87726597,192137787
87726597,211127249
87726597,234373061
87726597,288536535
87726597,309487949
87726597,457175273
87726597,473733623
87726597,488126457
87726597,529713203
87726597,530889615
87726597,532692323
87726597,533933777
87726597,535687559
87726597,536613033
87726597,538291207
87726597,539327433
87726597,542336657
87726597,543241881
87726597,544224081
87726597,545409877
87726597,547214869
87726597,549182927
87726597,550618877
87726597,551393457
87726597,554035119
87726597,556447527
87726597,557924047
87726597,559600241
87726597,561349395
87726597,563443405
87726597,566404705
87726597,568088609
87726597,569481095
87726597,571507177
87726597,573115967
87726597,575672873
87726597,579383437
87726597,580185281
87726597,582244151
87726597,585000443
87726597,586793025
87726597,591068901
87726597,594514393
87726597,596449617
87726597,598783565
87726597,602506633
87726597,606902667
87726597,610895601
87726597,613528403
87726597,616186773
87726597,620276873
87726597,623632881
87726597,628003561
87726597,636299843
87726597,645267847
87726597,648926107
87726597,667192587
87726597,684786213
87726597,701213051
87726597,720474835
87726597,733670905
87726597,748808893
87726597,774996143
87726597,796390983
87726597,909115361
87726597,964273491
87726597,1063865379
87726597,1553006631
87726597,2411460051
87726597,2987075383
87726597,3951085683
87762563,87728491
87762563,138412021
87762563,140248523
87762563,167729505
87762563,176479909
87762563,218541829
87762563,264758897
87762563,318330861
87762563,457363215
87762563,532282385
87762563,534507061
87762563,539500053
87762563,545627719
87762563,550534377
87762563,554453051
87762563,557597503
87762563,562766695
87762563,567947867
87762563,576749245
87762563,579181321
87762563,586816385
87762563,594304407
87762563,603152919
87762563,621787783
87762563,639008047
87762563,700094267
87762563,737899339
87762563,890975703
87762563,3519892081
87808217,87670055
87808217,87687509
87808217,87724081
87808217,87741217
87808217,87767883
87808217,87807675
87808217,135509261
87808217,135816329
87808217,143889133
87808217,150598721
87808217,157950649
87808217,162993327
87808217,166302395
87808217,170963981
87808217,175639427
87808217,179027919
87808217,185914561
87808217,188723417
87808217,197555053
87808217,197978115
87808217,202926419
87808217,210870733
87808217,212510799
87808217,219066407
87808217,233975613
87808217,269647861
87808217,375211749
87808217,487715235
87808217,493199161
87808217,529955251
87808217,530595257
87808217,531481437
87808217,532337129
87808217,534821767
87808217,539015965
87808217,544542541
87808217,546418529
87808217,548367795
87808217,551095321
87808217,561054567
87808217,568046529
87808217,577815115
87808217,590833983
87808217,594225847
87808217,599231131
87808217,638748333
87808217,680339531
87808217,725972045
87808217,805074725
