userID,ffID,AA_index,rn
87702431,167729505,0.026694908740915145,1.0
87702431,168921263,0.01783227323893852,10.0
87702431,185203523,0.01617149479314857,12.0
87702431,229525517,0.02302726380521592,3.0
87702431,531321505,0.014529261420751508,14.0
87702431,561054567,0.01944450478654148,9.0
87702431,565648357,0.020470806323168236,6.0
87702431,571486213,0.024205652994065244,2.0
87702431,572941239,0.022875214226034262,4.0
87702431,583321491,0.015680532068154132,13.0
87702431,606908629,0.01949607509606005,8.0
87702431,647789999,0.016244087045512407,11.0
87702431,728351165,0.01979120727682809,7.0
87702431,747810047,0.02258591774847247,5.0
87702431,1491685873,0.014489583471247739,15.0
87714443,87717933,0.002637688220970085,12.0
87714443,135932485,0.002637688220970085,13.0
87714443,150023465,0.002637688220970085,14.0
87714443,156984681,0.002637688220970085,15.0
87714443,258517335,0.0043390786053171156,1.0
87714443,531321505,0.0027261004628953414,5.0
87714443,558780119,0.0027261004628953414,6.0
87714443,561174061,0.0027261004628953414,7.0
87714443,565648357,0.0043390786053171156,2.0
87714443,577007851,0.003314368526768804,3.0
87714443,579732249,0.0027261004628953414,8.0
87714443,593556689,0.003314368526768804,4.0
87714443,602411207,0.0027261004628953414,9.0
87714443,606908629,0.0027261004628953414,10.0
87714443,736347081,0.0027261004628953414,11.0
87717679,87717933,0.0026580793825357377,3.0
87717679,150023465,0.0026580793825357377,4.0
87717679,167729505,0.0026580793825357377,5.0
87717679,216135357,0.0027364573200256096,1.0
87717679,531445867,0.0026580793825357377,6.0
87717679,534114203,0.0026580793825357377,7.0
87717679,538718973,0.0025823335742362497,14.0
87717679,548029223,0.0026580793825357377,8.0
87717679,548566345,0.0026580793825357377,9.0
87717679,575672873,0.0019736743487971348,15.0
87717679,577845511,0.0027364573200256096,2.0
87717679,611415081,0.0026580793825357377,10.0
87717679,715867225,0.0026580793825357377,11.0
87717679,721579335,0.0026580793825357377,12.0
87717679,1489023993,0.0026580793825357377,13.0
87717933,135932485,0.030243507143681347,2.0
87717933,176408393,0.027136178285447322,4.0
87717933,229525517,0.01986978513688677,15.0
87717933,258517335,0.0228930379047266,8.0
87717933,487664223,0.020677590963642214,11.0
87717933,531321505,0.030289564993782173,1.0
87717933,534114203,0.024274760997302212,6.0
87717933,534372039,0.019993759050315342,14.0
87717933,542581467,0.024785540396022866,5.0
87717933,549698591,0.023112250102469048,7.0
87717933,561265031,0.027532936607313024,3.0
87717933,584372993,0.02022945899792927,12.0
