date,title,intro,author,url
1653494851,afd dokumentation volksvertreter ich will das noch mal sehen bis ich ausflippe,"Der Dokumentarfilmer Andreas Wilcke hat vier Bundestagsabgeordnete der AfD in ihrem Alltag begleitet. Das Ergebnis ist ein leiser Film, der das weltvergessene Biedermeier der Rechtspopulisten ans Licht bringt.",['Andreas Wassermann'],https://www.spiegel.de/kultur/afd-dokumentation-volksvertreter-ich-will-das-noch-mal-sehen-bis-ich-ausflippe-a-c0b8b53b-0a20-49a8-b685-4cde6a5ea2e3
1653484320,siegfried russwurm bdi chef warnt vor den risiken im geschaeft mit autokraten,Russlands Angriffskrieg hat auch die bisherigen Geschäfte der deutschen Industrie infrage gestellt. In China unterdrückt das Regime auf brutale Weise die Uiguren. Was bedeutet das für Unternehmen? Ein Gespräch mit BDI-Chef Siegfried Russwurm.,"['Martin Noé', 'Christian Schütte']",https://www.manager-magazin.de/politik/deutschland/siegfried-russwurm-bdi-chef-warnt-vor-den-risiken-im-geschaeft-mit-autokraten-a-faa5f9ea-0002-0001-0000-000204564790
1653418960,gruenenpolitiker hofreiter zu xinjiang police files wir sollten viel enger mit den usa zusammenarbeiten,"Die Brutalität Chinas, die durch die Xinjiang Police Files bekannt wurde, verstören den Grünenpolitiker Anton Hofreiter: Deutschland müsse sein Wirtschaftsmodell überdenken.",['Serafin Reiber'],https://www.spiegel.de/politik/deutschland/gruenenpolitiker-hofreiter-zu-xinjiang-police-files-wir-sollten-viel-enger-mit-den-usa-zusammenarbeiten-a-6113d268-0cb9-446b-8ff2-791ad42c57b8
1653415771,olaf scholz im senegal niger und in suedafrika der lobomat,"Olaf Scholz bereist in  Stunden den Senegal, Niger und Südafrika. Er besucht Kampfschwimmer in der Wüste, sucht neue Energie für Deutschland und lobt viel. Immer zugegen: Wladimir Putin.",['Dirk Kurbjuweit'],https://www.spiegel.de/politik/deutschland/olaf-scholz-im-senegal-niger-und-in-suedafrika-der-lobomat-a-c60bb13c-24c4-4b6a-9c8d-f8f5008d4913
1653414075,xinjiang police files ein voelkermord und deutschland schaut zu,"Der höchste Uigurenvertreter reagiert auf die Xinjiang Police Files: Endlich hätten viele Menschen Gewissheit, was mit ihren Angehörigen geschehen sei. Die internationale Gemeinschaft müsse Chinas »Gräueltaten« beenden.","['Christoph Giesen', 'Frederik Obermaier']",https://www.spiegel.de/ausland/xinjiang-police-files-ein-voelkermord-und-deutschland-schaut-zu-a-ffac85be-8fde-48f8-b0e5-7f203b7aebf6
1653408451,xinjiang police files politiker fordern mehr haerte gegenueber china,Bisher pflegt Deutschland enge Handelsbeziehungen zu China. Nach der Veröffentlichung der Bilder aus chinesischen Lagern fordern Politiker einen Kurswechsel.,"['Markus Becker', 'Sophie Garbe', 'Florian Gathmann', 'Timo Lehmann', 'Veit Medick', 'Marc Röhlig', 'Marco Schulz', 'Christian Teevs', 'Gerald Traufetter', 'Severin Weiland']",https://www.spiegel.de/politik/deutschland/xinjiang-police-files-politiker-fordern-mehr-haerte-gegenueber-china-a-0670dcb7-b58d-4ad1-a67d-4a8f953e9446
1653365220,xinjiang police files china uiguren angela merkel ukraine,Die Xinjiang Police Files geben einen nie dagewesenen Einblick in Chinas Unterdrückung der Uiguren. Deutschland hat sich wirtschaftlich abhängig gemacht von einer brutalen Diktatur. Das ist die Lage am Dienstag.,['Mathieu von Rohr'],https://www.spiegel.de/ausland/xinjiang-police-files-china-uiguren-angela-merkel-ukraine-a-fe40ed15-b0dc-451c-ad66-24a40aa0bd11
1653302867,olaf scholz von trotz und tranigkeit kolumne,Der Kanzler will sich partout nicht treiben lassen. Auch nicht von Vernunft oder zum Richtigen. Das ist kindisch und kostet Zeit.,['Nikolaus Blome'],https://www.spiegel.de/politik/deutschland/olaf-scholz-von-trotz-und-tranigkeit-kolumne-a-c277479b-0c43-4999-a3bb-e976edbc5eac
1653252889,senegal olaf scholz wirbt fuer gasprojekt,"Nach Besuchen in den USA, Japan und Israel reist Olaf Scholz mitten im Ukrainekrieg nun in den Senegal. Der Grund: Das Land hat vor seiner Küste Gasvorkommen.",,https://www.spiegel.de/ausland/senegal-olaf-scholz-wirbt-fuer-gasprojekt-a-ea67425e-8dd2-47bc-b28a-ce829de00bef
1653084300,steffi lemke und der biosprit ist die fdp jetzt gruener als die gruenen,"Einst pries Steffi Lemke günstigen Kraftstoff aus Mais, Raps und Getreide – doch jetzt will die grüne Umweltministerin den Biosprit abschaffen. Ausgerechnet die FDP protestiert.",['Serafin Reiber'],https://www.spiegel.de/politik/deutschland/steffi-lemke-und-der-biosprit-ist-die-fdp-jetzt-gruener-als-die-gruenen-a-d9b6b42a-9ee3-4f13-b9f6-3ea16e8b8353
1653063488,taking stock a look at the worst mistakes made in the coronavirus pandemic,"From the tens of thousands of unnecessary deaths, to neglected children and a helpless vaccination campaign, German politicians deserve poor marks in many aspects of the coronavirus pandemic. Experts look back at the worst mistakes made and offer advice for the autumn.","['Rafaela von Bredow', 'Veronika Hackenbroch']",https://www.spiegel.de/international/germany/taking-stock-a-look-at-the-worst-mistakes-made-in-the-coronavirus-pandemic-a-e9b02345-7368-450d-b744-b326d99e8840
1653044400,deutschland ein menstruationsgesetz waere auch hierzulande noetig kolumne,"Was Mutter Natur verbockt hat, sollte Vater Staat endlich ausgleichen: Ein Menstruationsgesetz wie in Spanien, das Frauen mit starken Regelschmerzen von der Arbeit befreit, wäre auch hierzulande nötig.",['Anna Clauß'],https://www.spiegel.de/politik/deutschland/deutschland-ein-menstruationsgesetz-waere-auch-hierzulande-noetig-kolumne-a-41284181-fe41-49ef-a857-978194c72429
1653044400,warum wirkt robert habeck auf viele als der bessere kanzler,"Baerbock und Habeck, Wüst und Günther – eine Politikergeneration setzt sich durch, die mit alten Ansätzen bricht: selbstreflektierend statt forsch, emotional statt hart. Für den Kanzler wird das zur Gefahr.","['Markus Feldenkirchen', 'Martin Knobbe', 'Veit Medick', 'Alexandra Rojkov', 'Christoph Schult', 'Gerald Traufetter', 'Severin Weiland']",https://www.spiegel.de/politik/deutschland/warum-wirkt-robert-habeck-auf-viele-als-der-bessere-kanzler-a-f97b3199-e109-4817-a54f-0bf770439555
1653041233,afd geleakte chats der bundestagsfraktion zeugen von radikalisierung der partei,"Öffentlich-rechtlichen Medien sind . Beiträge aus einer Chatgruppe der AfD-Abgeordneten im Bundestag zugespielt worden. Die Nachrichten sind voller Hass – auf andere, aber auch die AfD selbst.",,https://www.spiegel.de/politik/deutschland/afd-geleakte-chats-der-bundestagsfraktion-zeugen-von-radikalisierung-der-partei-a-ba400600-66c1-4c32-8fd3-eeca68a2cf0c
1653037860,gerhard schroeder laesst streichung seiner privilegien juristisch pruefen,Die Ampelkoalition hat Gerhard Schröders Privilegien gestrichen. Doch ist der Beschluss rechtssicher? Nach SPIEGEL-Informationen wehrt sich der Altkanzler mit Unterstützung eines prominenten Strafrechtlers.,['Veit Medick'],https://www.spiegel.de/politik/deutschland/gerhard-schroeder-laesst-streichung-seiner-privilegien-juristisch-pruefen-a-086b26f0-135f-41a9-ad5a-f015d92700ff
1652981460,markus soeder ueber angela merkel mein verhaeltnis zu ihr war wechselhaft,»Mein Verhältnis zu ihr war wechselhaft«: CSU-Chef Markus Söder blickt angeblich manchmal wehmütig auf die Zeit mit Altkanzlerin Angela Merkel.,,https://www.spiegel.de/politik/deutschland/markus-soeder-ueber-angela-merkel-mein-verhaeltnis-zu-ihr-war-wechselhaft-a-9daa3910-0cd3-48e7-a121-abb35b206fef
1652971320,norbert roettgen cdu ueber russland und deutschland ein schwerwiegendes versagen,"Er sieht auch Fehler der eigenen Partei: CDU-Außenpolitiker Norbert Röttgen über die deutsche Russlandpolitik, eine EU-Erweiterung nach Osten – und die nächste Gefahr, die noch viel größer sein könnte als Putin.","['Sophie Garbe', 'Martin Knobbe']",https://www.spiegel.de/politik/deutschland/norbert-roettgen-cdu-ueber-russland-und-deutschland-ein-schwerwiegendes-versagen-a-a49ba00c-d270-432b-81f9-9f6a88da9557
