,iteration​,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,target_function
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453
1,1.0,0.0,0.0,-0.005,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,-0.005,-0.005,0.0,-0.005,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6855252252230492
2,2.0,0.0,0.0,-0.009937503224293308,0.0,0.0,-0.004999999969288412,0.0,0.0,0.0,-0.004937503255004895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009937503224293308,0.0,0.0,0.0,0.0,0.0,0.0,-0.004937503255004895,-0.004999999969288412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999969288412,0.0,0.0,-0.004937503255004895,0.0,0.0,0.0,0.0,-0.004937503255004895,0.0,-0.004999999969288412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999969288412,0.0,-0.004937503255004895,0.0,0.0,0.0,0.0,0.0,0.0,-0.004937503255004895,0.0,-0.004999999969288412,0.0,0.0,-0.004999999969288412,0.0,0.0,0.0,-0.004937503255004895,-0.004937503255004895,-0.004999999969288412,-0.009937503224293308,0.0,-0.009937503224293308,0.0,0.0,0.0,-0.009937503224293308,0.0,0.0,-0.004937503255004895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999969288412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679588604884627
3,3.0,0.0,-0.004863159148712805,-0.009937503163254008,0.0,0.0,-0.00986315908728963,0.0,0.0,0.0,-0.0049375032246771824,0.0,0.0,0.0,0.0,-0.004863159148712805,0.0,0.0,-0.009937503163254008,-0.004863159148712805,0.0,0.0,0.0,0.0,0.0,-0.0049375032246771824,-0.004999999938576825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999938576825,0.0,0.0,-0.0049375032246771824,-0.004863159148712805,0.0,0.0,-0.004863159148712805,-0.0049375032246771824,0.0,-0.004999999938576825,0.0,0.0,0.0,0.0,-0.004863159148712805,0.0,0.0,-0.004999999938576825,0.0,-0.0049375032246771824,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049375032246771824,0.0,-0.00986315908728963,0.0,0.0,-0.00986315908728963,0.0,0.0,0.0,-0.0049375032246771824,-0.0049375032246771824,-0.00986315908728963,-0.014800662311966813,0.0,-0.014800662311966813,0.0,0.0,0.0,-0.014800662311966813,0.0,0.0,-0.009800662373389987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999938576825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711736041317623
4,4.0,-0.0047413756687910945,-0.004863159118841737,-0.009937503102214707,0.0,0.0,-0.014604534695498071,0.0,0.0,0.0,-0.00493750319434947,0.0,0.0,0.0,0.0,-0.004863159118841737,0.0,0.0,-0.014678878771005804,-0.004863159118841737,-0.0047413756687910945,0.0,0.0,0.0,0.0,-0.00493750319434947,-0.0049999999078652385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049999999078652385,0.0,-0.0047413756687910945,-0.00493750319434947,-0.004863159118841737,0.0,0.0,-0.009604534787632832,-0.00493750319434947,0.0,-0.0049999999078652385,0.0,0.0,0.0,0.0,-0.004863159118841737,0.0,0.0,-0.0049999999078652385,0.0,-0.009678878863140564,0.0,0.0,0.0,0.0,0.0,0.0,-0.009678878863140564,0.0,-0.009863159026706975,0.0,0.0,-0.014604534695498071,0.0,0.0,0.0,-0.00493750319434947,-0.009678878863140564,-0.009863159026706975,-0.01954203788984754,0.0,-0.01954203788984754,0.0,0.0,0.0,-0.01954203788984754,0.0,0.0,-0.014542037981982302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049999999078652385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629882788558242
5,5.0,-0.00474137563966806,-0.00486315908897067,-0.009937503041175409,0.005328033163050574,0.0,-0.009276501442741808,0.0,0.0,0.0,-0.004937503164021757,0.0,0.0,0.0,0.005328033163050574,-0.00486315908897067,0.0,0.0,-0.01467887868084347,-0.00486315908897067,0.0005866575233825144,0.0,0.0,0.0,0.0,-0.004937503164021757,-0.0049999998771536516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049999998771536516,0.0,0.0005866575233825144,-0.004937503164021757,-0.00486315908897067,0.0,0.0,-0.00960453472863873,-0.004937503164021757,0.005328033163050574,-0.0049999998771536516,0.0,0.0,0.0,0.0,-0.00486315908897067,0.005328033163050574,0.0,-0.0049999998771536516,0.0,-0.009678878803689818,0.0,0.0,0.0,0.0,0.0,0.0,-0.009678878803689818,0.0,-0.0045351258030737465,0.0,0.0,-0.009276501442741808,0.0,0.0,0.0,-0.004937503164021757,-0.004350845640639244,-0.009863158966124322,-0.014214004606763565,0.0,-0.014214004606763565,0.0,0.0,0.0,-0.014214004606763565,0.0,0.0,-0.009214004729609912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049999998771536516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671001219805945
6,6.0,-0.004741375610545025,-0.0048631590590996025,-0.014686711427436869,0.0053280331303241025,0.0,-0.014025709833063352,0.0,0.0,0.0,-0.004937503133694046,0.0,0.0,0.0,0.0053280331303241025,-0.0048631590590996025,0.0,0.0,-0.019428087037981896,-0.009612367506400363,0.0005866575197790776,0.0,0.0,0.0,0.0,-0.004937503133694046,-0.004999999846442065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999846442065,0.0,0.0005866575197790776,-0.004937503133694046,-0.009612367506400363,-0.004749208447300759,0.0,-0.00960453466964463,-0.004937503133694046,0.0053280331303241025,-0.004999999846442065,0.0,0.0,0.0,0.0,-0.0048631590590996025,0.0053280331303241025,0.0,-0.004999999846442065,0.0,-0.009678878744239072,-0.004749208447300759,0.0,0.0,0.0,0.0,0.0,-0.009678878744239072,-0.004749208447300759,-0.004535125775217564,0.0,0.0,-0.014025709833063352,0.0,0.0,0.0,-0.004937503133694046,-0.004350845613914968,-0.014612367352842427,-0.018963212966757396,0.0,-0.018963212966757396,0.0,0.0,0.0,-0.014214004519456636,0.0,-0.004749208447300759,-0.01396321312031533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999846442065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644636133511855
7,7.0,-0.00474137558142199,-0.004863159029228536,-0.014686711337226424,0.005328033097597632,0.0052715420879391114,-0.008754167658973877,0.0,0.0,0.0,-0.004937503103366334,0.0,0.0,0.0,0.010599575185536742,-0.004863159029228536,0.0,0.0,-0.019428086918648415,-0.009612367447358149,0.0005866575161756408,0.0,0.0,0.0,0.0,-0.004937503103366334,-0.004999999815730478,0.0,0.0,0.0,0.0,0.0052715420879391114,0.0,0.0,0.0,0.0002715422722086337,0.0,0.0005866575161756408,-0.004937503103366334,-0.009612367447358149,0.0005223336698094994,0.0,-0.009604534610650528,-0.004937503103366334,0.005328033097597632,-0.004999999815730478,0.0,0.0,0.0,0.0,-0.004863159029228536,0.005328033097597632,0.0,0.0002715422722086337,0.0,-0.009678878684788325,-0.004749208418129613,0.0,0.0,0.0,0.0,0.0,-0.009678878684788325,0.0005223336698094994,-0.004535125747361381,0.0,0.0,-0.008754167658973877,0.0,0.0,0.0,-0.004937503103366334,-0.004350845587190693,-0.009340825175149513,-0.01369167076234021,0.0,-0.01369167076234021,0.0,0.0052715420879391114,0.0,-0.014214004432149707,0.0,-0.004749208418129613,-0.00869167094660973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999815730478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6724539824217195
8,8.0,-0.0047413755522989565,-0.009682379444040783,-0.01468671124701598,0.005328033064871161,0.005271542055559626,-0.013573388049886314,0.0,0.0,0.0,-0.004937503073038622,0.0,0.0,0.0,0.010599575120430787,-0.004863158999357469,0.0,0.0,-0.02424730724399825,-0.009612367388315937,0.0005866575125722041,-0.0048192204446833135,0.0,0.0,0.0,-0.004937503073038622,-0.004999999785018892,0.0,0.0,0.0,0.0,0.005271542055559626,0.0,0.0,0.0,-0.004547678174142578,0.0,0.0005866575125722041,-0.004937503073038622,-0.009612367388315937,-0.004296886778082153,0.0,-0.009604534551656427,-0.004937503073038622,0.005328033064871161,-0.004999999785018892,0.0,0.0,0.0,-0.0048192204446833135,-0.004863158999357469,0.005328033064871161,0.0,0.0002715422705407349,0.0,-0.009678878625337579,-0.004749208388958467,0.0,0.0,0.0,0.0,-0.0048192204446833135,-0.009678878625337579,0.0005223336666011602,-0.004535125719505199,0.0,0.0,-0.008754167605203,0.0,0.0,0.0,-0.009756723517721937,-0.009170066005149732,-0.0093408251177752,-0.018510891122924936,0.0,-0.018510891122924936,0.0,0.00045232161087631253,0.0,-0.01421400434484278,0.0,-0.004749208388958467,-0.01351089133790604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999785018892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659228068422761
9,9.0,-0.004741375523175923,-0.009682379384568535,-0.019388399674584708,0.00532803303214469,0.005271542023180141,-0.018275076484293426,0.0,0.0,0.0,-0.0049375030427109105,0.0,0.0,0.0,0.010599575055324831,-0.004863158969486403,0.0,-0.004701688517779169,-0.02424730709506359,-0.009612367329273725,-0.004115031008810402,-0.004819220415082132,0.0,0.0,0.0,-0.0049375030427109105,-0.004999999754307306,0.0,0.0,0.0,0.0,0.005271542023180141,0.0,0.0,0.0,-0.004547678146209295,0.0,-0.004115031008810402,-0.0049375030427109105,-0.009612367329273725,-0.00429688675168931,0.0,-0.014306223010441495,-0.0049375030427109105,0.00532803303214469,-0.004999999754307306,0.0,0.0,0.0,-0.004819220415082132,-0.009564847487265573,0.00532803303214469,0.0,0.00027154226887283605,0.0,-0.009678878565886834,-0.004749208359787322,0.0,0.0,0.0,0.0,-0.004819220415082132,-0.009678878565886834,0.000522333663392821,-0.009236814209428186,0.0,0.0,-0.013455856069211293,0.0,0.0,0.0,-0.009756723457793043,-0.009170065948824276,-0.014042513578180055,-0.023212579527004333,0.0,-0.023212579527004333,0.0,0.0004523216080980096,0.0,-0.014214004257535853,0.0,-0.009450896877566492,-0.018212579772697024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004999999754307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586777070531828
